"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"7725","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kamosho","Shido",60,"No_information",NA,"Semi-rectangular Shaped",15,90,1980,"W","House","Other","South","Private Road",4,"Outside City Planning Area",0,"2nd",2020,40,0,"2","1"
"7726","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kamosho","Shido",60,"No_information",NA,"Irregular Shaped",0,120,1969,"W","House","Other","West","City Road",2,"Outside City Planning Area",0,"2nd",2016,47,0,"2","1"
"7727","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Sangawamachikanzaki","Kanzaki (Kagawa)",15,"No_information",NA,"Semi-trapezoidal Shaped",11.5,135,1935,"W","House","Other","East","Road",1,"Non-divided City Planning Area",200,"4th",2018,83,0,"1","1"
"7728","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Orange Town",3,"No_information",NA,"Semi-rectangular Shaped",13,135,2000,"W","House","House","East","City Road",8.7,"Category II Exclusively Medium-high Residential Zone",200,"4th",2020,20,0,"3","1"
"7729","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Orange Town",3,"No_information",NA,"Semi-square Shaped",13.5,115,1998,"W","House","House","West","City Road",9,"Category I Exclusively Low-story Residential Zone",100,"2nd",2016,18,0,"3","1"
"7730","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",20,"No_information",NA,"Semi-square Shaped",14,75,1977,"W","House","House","South","City Road",5.8,"Category I Exclusively Low-story Residential Zone",100,"4th",2020,43,0,"2","1"
"7731","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",10,"No_information",NA,"&quot;Flag-shaped&quot; etc.",3,55,1980,"W","House","No_information","East","Private Road",4,"Category I Residential Zone",200,"1st",2020,40,0,"2","1"
"7732","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",23,"No_information",NA,"Semi-rectangular Shaped",20,190,1990,"W","House","House","North","City Road",6,"Category II Exclusively Low-story Residential Zone",100,"3rd",2019,29,0,"2","1"
"7733","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",5,"No_information",NA,"Semi-rectangular Shaped",13.5,110,2017,"W","House","House","North","Private Road",4.8,"Category I Residential Zone",200,"3rd",2019,2,0,"2","1"
"7734","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",12,"No_information",NA,"Semi-rectangular Shaped",10,105,2019,"W","House","House","East","Private Road",4.5,"Quasi-industrial Zone",200,"2nd",2019,0,1,"2","1"
"7735","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",13,"No_information",NA,"Semi-square Shaped",16,55,1970,"W","House","Other","East","City Road",5.5,"Category I Exclusively Low-story Residential Zone",100,"4th",2018,48,0,"2","1"
"7736","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",13,"No_information",NA,"Semi-shaped",15,85,2017,"W","House","House","West","City Road",4.5,"Non-divided City Planning Area",200,"2nd",2017,0,1,"2","1"
"7737","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",18,"No_information",NA,"Irregular Shaped",20,100,1999,"W","House","House","East","City Road",4,"Category II Exclusively Medium-high Residential Zone",200,"1st",2017,18,0,"2","1"
"7738","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",14,"No_information",NA,"Semi-shaped",15,105,1980,"W","House","Warehouse","South","City Road",6,"Category I Exclusively Low-story Residential Zone",100,"3rd",2016,36,0,"2","1"
"7739","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",16,"No_information",NA,"Semi-trapezoidal Shaped",17,110,2017,"W","House","House","West","Private Road",6,"Non-divided City Planning Area",200,"2nd",2016,-1,0,"2","1"
"7740","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",13,"No_information",NA,"Semi-square Shaped",11,65,1973,"W","House","House","North","City Road",4,"Category I Residential Zone",200,"1st",2016,43,0,"2","1"
"7741","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Orange Town",11,"No_information",NA,"Semi-shaped",11.5,115,2019,"W","House","House","South","City Road",5.9,"Non-divided City Planning Area",200,"2nd",2019,0,1,"3","1"
"7742","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Orange Town",12,"No_information",NA,"Semi-square Shaped",15,100,1935,"W","House","House","South","City Road",6,"Non-divided City Planning Area",200,"2nd",2018,83,0,"3","1"
"7743","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",10,"No_information",NA,"Semi-rectangular Shaped",17,80,1974,"W","House","House","South","City Road",4,"Non-divided City Planning Area",200,"3rd",2020,46,0,"2","1"
"7744","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",12,"No_information",NA,"Semi-rectangular Shaped",11,80,2019,"W","House","House","East","Private Road",6,"Non-divided City Planning Area",200,"4th",2018,-1,0,"2","1"
"7745","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",12,"No_information",NA,"Semi-rectangular Shaped",9,95,1993,"W","House","House","South","Private Road",4,"Non-divided City Planning Area",200,"3rd",2018,25,0,"2","1"
"7746","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",12,"No_information",NA,"Semi-rectangular Shaped",11,95,1992,"W","House","House","East","Private Road",6,"Non-divided City Planning Area",200,"3rd",2017,25,0,"2","1"
"7747","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",12,"No_information",NA,"Semi-shaped",13,95,1976,"W","House","House","Southeast","City Road",9.5,"Non-divided City Planning Area",200,"1st",2017,41,0,"2","1"
"7748","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotakorehiro","Zoda",5,"No_information",NA,"Irregular Shaped",12,40,1957,"W","House","House","East","Road",2.8,"Non-divided City Planning Area",200,"1st",2016,59,0,"2","1"
"7749","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotamiyanishi","Zoda",23,"No_information",NA,"Semi-shaped",31,0,1969,"W","House","House","East","Prefectural Road",9,"Non-divided City Planning Area",200,"3rd",2017,48,0,"2","1"
"7750","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",24,"No_information",NA,"Semi-rectangular Shaped",14,55,1979,"W","House","House","North","City Road",4,"Non-divided City Planning Area",200,"4th",2020,41,0,"1","1"
"7751","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",8,"No_information",NA,"Irregular Shaped",0,0,1935,"No_information","House","House","West","City Road",3.4,"Non-divided City Planning Area",200,"2nd",2020,85,0,"1","1"
"7752","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",7,"No_information",NA,"Semi-trapezoidal Shaped",13,155,1967,"W","House","House","South","City Road",4,"Non-divided City Planning Area",200,"1st",2018,51,0,"1","1"
"7753","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",25,"No_information",NA,"Semi-shaped",14,130,1985,"W","House","No_information","South","City Road",6,"Non-divided City Planning Area",200,"3rd",2017,32,0,"1","1"
"7754","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",28,"No_information",NA,"Semi-rectangular Shaped",15,125,1991,"W","House","House","Northwest","City Road",4,"Non-divided City Planning Area",200,"2nd",2016,25,0,"1","1"
"7755","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuruwa","Tsuruwa",8,"No_information",NA,"Semi-rectangular Shaped",9.5,70,1972,"W","House","Other","West","City Road",6,"Non-divided City Planning Area",200,"4th",2016,44,0,"1","1"
"7756","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Nagaonishi","Nagao (Takamatsu)",5,"No_information",NA,"Semi-square Shaped",12.5,85,2018,"W","House","House","North","City Road",8,"Non-divided City Planning Area",200,"4th",2018,0,1,"3","1"
"7757","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Nagaonishi","Nagao (Takamatsu)",13,"No_information",NA,"Semi-shaped",0,105,2016,"W","House","House","North","Private Road",5.5,"Non-divided City Planning Area",200,"1st",2016,0,1,"3","1"
"7758","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Nagaonishi","Nagao (Takamatsu)",9,"No_information",NA,"Semi-rectangular Shaped",12.5,115,2015,"W","House","House","North","Private Road",5,"Non-divided City Planning Area",200,"1st",2016,1,0,"3","1"
"7759","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Iza","Sanukishirotori",16,"No_information",NA,"Irregular Shaped",20,155,1999,"W","House","House","West","Agricultural Road",2.5,"Non-divided City Planning Area",200,"2nd",2016,17,0,"1","1"
"7760","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Umayado","Sanukiaioi",7,"No_information",NA,"Semi-rectangular Shaped",11,95,1987,"W","House","House","Southwest","National Highway",10,"Non-divided City Planning Area",200,"2nd",2016,29,0,"2","1"
"7761","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Ochiai","Nibu",13,"No_information",NA,"Semi-trapezoidal Shaped",13,95,1979,"W","House","House","South","City Road",4,"Non-divided City Planning Area",200,"2nd",2019,40,0,"1","1"
"7762","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Kirai","Sanukishirotori",12,"No_information",NA,"Irregular Shaped",4,45,1978,"W","House","No_information","East","Agricultural Road",2,"Non-divided City Planning Area",200,"3rd",2019,41,0,"1","1"
"7763","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Kirai","Sanukishirotori",10,"No_information",NA,"Semi-rectangular Shaped",12,110,2019,"W","House","House","West","City Road",8,"Non-divided City Planning Area",200,"1st",2019,0,1,"1","1"
"7764","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Kirai","Sanukishirotori",14,"No_information",NA,"Semi-trapezoidal Shaped",20,110,1968,"W","House","House","South","Road",3,"Non-divided City Planning Area",200,"1st",2018,50,0,"1","1"
"7765","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Sambommatsu","Sanbonmatsu (Kagawa)",9,"No_information",NA,"Semi-shaped",12.5,70,1976,"W","House","Shop","South","City Road",6.5,"Neighborhood Commercial Zone",200,"3rd",2019,43,0,"2","1"
"7766","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Shirotori","Sanukishirotori",19,"No_information",NA,"Semi-trapezoidal Shaped",24,105,1987,"W","House","House","West","Private Road",4,"Non-divided City Planning Area",200,"1st",2018,31,0,"1","1"
"7767","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Shirotori","Sanukishirotori",18,"No_information",NA,"Semi-trapezoidal Shaped",24,440,1967,"W","House","Other","East","Road",2,"Non-divided City Planning Area",200,"3rd",2017,50,0,"1","1"
"7768","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Nakasuji","Sanbonmatsu (Kagawa)",14,"No_information",NA,"Semi-rectangular Shaped",0,90,1989,"W","House","House","South","Private Road",4,"Quasi-industrial Zone",200,"2nd",2018,29,0,"2","1"
"7769","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",11,"No_information",NA,"Semi-rectangular Shaped",10,75,1977,"W","House","House","East","City Road",5,"Non-divided City Planning Area",200,"1st",2020,43,0,"1","1"
"7770","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",16,"No_information",NA,"Semi-rectangular Shaped",12,135,1980,"W","House","House","North","City Road",3,"Non-divided City Planning Area",200,"2nd",2018,38,0,"1","1"
"7771","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",11,"No_information",NA,"Semi-rectangular Shaped",30,110,1986,"W","House","House","South","Private Road",4,"Non-divided City Planning Area",200,"1st",2017,31,0,"1","1"
"7772","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",15,"No_information",NA,"Semi-rectangular Shaped",32,100,1962,"W","House","House","West","Prefectural Road",6,"Non-divided City Planning Area",200,"4th",2016,54,0,"1","1"
"7773","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Minamino","Sanukiaioi",8,"No_information",NA,"Irregular Shaped",38,125,1995,"LS","House","House","South","Road",2.5,"Outside City Planning Area",0,"3rd",2017,22,0,"2","1"
"7774","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Yokouchi","Sanbonmatsu (Kagawa)",12,"No_information",NA,"Semi-rectangular Shaped",14,220,1968,"W","House, Shop","House","East","City Road",6,"Category I Residential Zone",200,"2nd",2019,51,0,"2","1"
"7775","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Saitachosaitakami","Kurokawa (Kagawa)",21,"No_information",NA,"Irregular Shaped",13,390,1990,"RC, W","House","House","East","City Road",6,"Outside City Planning Area",0,"2nd",2018,28,0,"1","1"
"7776","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechokamitakase","Takase (Kagawa)",24,"No_information",NA,"Semi-square Shaped",14,55,1974,"W","House","House","North","Private Road",3.6,"Outside City Planning Area",0,"1st",2019,45,0,"1","1"
"7777","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechokamitakase","Takase (Kagawa)",20,"No_information",NA,"Irregular Shaped",31.5,125,2014,"W","House","House","South","Road",5.8,"Outside City Planning Area",0,"4th",2017,3,0,"1","1"
"7778","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechokamitakase","Takase (Kagawa)",19,"No_information",NA,"Semi-rectangular Shaped",13,0,2016,"W","House","House","Southeast","City Road",5,"Outside City Planning Area",0,"1st",2016,0,1,"1","1"
"7779","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechoshimokatsuma","Takase (Kagawa)",60,"No_information",NA,"Semi-rectangular Shaped",15,100,1998,"W","House","House","Northwest","City Road",5,"Outside City Planning Area",0,"1st",2020,22,0,"1","1"
"7780","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechoshimokatsuma","Takase (Kagawa)",11,"No_information",NA,"Semi-rectangular Shaped",19.5,65,1992,"W","House","House","Southwest","City Road",3.5,"Outside City Planning Area",0,"4th",2018,26,0,"1","1"
"7781","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechoshimokatsuma","Takase (Kagawa)",11,"No_information",NA,"Semi-square Shaped",16.5,125,2018,"W","House","House","Northeast","Road",6,"Outside City Planning Area",0,"2nd",2018,0,1,"1","1"
"7782","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,"No_information",NA,"Semi-rectangular Shaped",0,135,1971,"W","House","Other","Southeast","Private Road",2.5,"Non-divided City Planning Area",200,"2nd",2020,49,0,"1","1"
"7783","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",15,"No_information",NA,"Semi-rectangular Shaped",27,280,1993,"LS","House","Other","Northwest","Prefectural Road",8.5,"Non-divided City Planning Area",200,"2nd",2020,27,0,"1","1"
"7784","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",18,"No_information",NA,"Semi-rectangular Shaped",13,110,2013,"W","House","Other","Northeast","City Road",4.5,"Non-divided City Planning Area",200,"3rd",2019,6,0,"1","1"
"7785","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",23,"No_information",NA,"Semi-shaped",0,95,1983,"W","House","House","Northwest","City Road",4,"Non-divided City Planning Area",200,"4th",2018,35,0,"1","1"
"7786","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,"No_information",NA,"Semi-rectangular Shaped",12.5,120,1982,"S","House","House","Northwest","City Road",11.5,"Non-divided City Planning Area",200,"2nd",2018,36,0,"1","1"
"7787","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",14,"No_information",NA,"Semi-square Shaped",14.2,100,1986,"W","House","House","East","City Road",4,"Non-divided City Planning Area",200,"1st",2018,32,0,"1","1"
"7788","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,"No_information",NA,"Trapezoidal Shaped",17.8,140,2017,"W","House","House","Southwest","City Road",5,"Non-divided City Planning Area",200,"4th",2016,-1,0,"1","1"
"7789","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachonamari","Takuma",150,"No_information",NA,"Semi-rectangular Shaped",8,65,1960,"W","House","House","Northwest","City Road",1.5,"Outside City Planning Area",0,"3rd",2019,59,0,"1","1"
"7790","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachokasadakasaoka","Hijidai",25,"No_information",NA,"Semi-trapezoidal Shaped",18,0,1973,"W","House","House","Southwest","City Road",4,"Non-divided City Planning Area",200,"1st",2021,48,0,"1","1"
"7791","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachokasadakasaoka","Hijidai",60,"No_information",NA,"Irregular Shaped",9,105,2002,"W","House","House","West","City Road",4.5,"Non-divided City Planning Area",200,"2nd",2018,16,0,"1","1"
"7792","Residential Land(Land and Building)","Commercial Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachomotoyama","Motoyama (Kagawa)",20,"No_information",NA,"Semi-rectangular Shaped",25,195,1935,"W","House, Other","Other","Southeast","National Highway",12,"Non-divided City Planning Area",200,"2nd",2019,84,0,"2","2"
"7793","Residential Land(Land and Building)","Commercial Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachomotoyama","Motoyama (Kagawa)",15,"No_information",NA,"Semi-rectangular Shaped",12,145,1935,"W","House","Other","South","City Road",6,"Non-divided City Planning Area",200,"2nd",2018,83,0,"2","2"
"7794","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Niochonio","Takuma",90,"No_information",NA,"Semi-square Shaped",12,45,1971,"W","House","Other","East","City Road",4,"Non-divided City Planning Area",200,"1st",2018,47,0,"1","1"
"7795","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Niochonio","Takuma",90,"No_information",NA,"Irregular Shaped",16,155,1985,"W","House","House","Northeast","City Road",2.5,"Non-divided City Planning Area",200,"3rd",2017,32,0,"1","1"
"7796","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Minochoomi","Mino",10,"No_information",NA,"Irregular Shaped",18,390,1935,"W","House, Warehouse, Other","House","Southeast","City Road",2,"Outside City Planning Area",0,"1st",2020,85,0,"1","1"
"7797","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Minochoshimotakase","Mino",21,"No_information",NA,"Semi-shaped",13,115,1998,"W","House","No_information","Northeast","Private Road",4,"Outside City Planning Area",0,"3rd",2020,22,0,"1","1"
"7798","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Minochoshimotakase","Mino",20,"No_information",NA,"Semi-trapezoidal Shaped",15,170,1993,"W","House","House","Northeast","City Road",5,"Outside City Planning Area",0,"2nd",2017,24,0,"1","1"
"7799","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochoono","Motoyama (Kagawa)",60,"No_information",NA,"Semi-shaped",23,135,1982,"W","House","Other","Southwest","Prefectural Road",6.8,"Outside City Planning Area",0,"4th",2020,38,0,"2","1"
"7800","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochoono","Motoyama (Kagawa)",60,"No_information",NA,"Irregular Shaped",33,210,1935,"W","House","Other","Southwest","Prefectural Road",6.6,"Outside City Planning Area",0,"1st",2019,84,0,"2","1"
"7801","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochosaitanishi","Motoyama (Kagawa)",90,"No_information",NA,"Semi-rectangular Shaped",20.9,200,1993,"W","House","House","East","Private Road",3.5,"Outside City Planning Area",0,"1st",2018,25,0,"2","1"
"7802","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochotsuji","Motoyama (Kagawa)",90,"No_information",NA,"Semi-shaped",16,80,1975,"W","House","Warehouse","Southeast","Agricultural Road",1,"Outside City Planning Area",0,"3rd",2019,44,0,"2","1"
"7803","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochotsuji","Motoyama (Kagawa)",90,"No_information",NA,"Semi-trapezoidal Shaped",12.5,170,1994,"W","House","Other","Southwest","Private Road",4.5,"Outside City Planning Area",0,"2nd",2018,24,0,"2","1"
"7804","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Kamisho","No_station",999,"No_information",NA,"Semi-rectangular Shaped",22,60,1957,"W","House","House","East","Road",1.5,"Non-divided City Planning Area",200,"3rd",2020,63,0,"1","1"
"7805","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Hitoyama","No_station",999,"No_information",NA,"Irregular Shaped",13,105,1969,"RC","House","Other","Northwest","Town Road",4,"Outside City Planning Area",0,"2nd",2020,51,0,"1","1"
"7806","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Fuchizaki","No_station",999,"No_information",NA,"Semi-trapezoidal Shaped",21,120,1993,"W","House","House","East","Town Road",4.2,"Non-divided City Planning Area",200,"1st",2017,24,0,"1","1"
"7807","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",NA,"Semi-rectangular Shaped",11,50,1935,"W","House","House","North","Private Road",1.8,"Non-divided City Planning Area",200,"2nd",2020,85,0,"1","1"
"7808","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",NA,"Irregular Shaped",15,0,1987,"W","House","House","Northeast","Town Road",5,"Non-divided City Planning Area",200,"3rd",2019,32,0,"1","1"
"7809","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",NA,"Semi-shaped",14,140,2014,"W","House","House","West","Town Road",5,"Non-divided City Planning Area",200,"2nd",2019,5,0,"1","1"
"7810","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",NA,"Semi-shaped",10,55,1980,"W","House","House","East","Town Road",2.2,"Outside City Planning Area",0,"4th",2017,37,0,"1","1"
"7811","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",NA,"Semi-trapezoidal Shaped",11.5,0,1951,"W","House","House","Southwest","National Highway",13,"Non-divided City Planning Area",0,"2nd",2017,66,0,"1","1"
"7812","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",999,"No_information",NA,"Semi-shaped",0,195,1935,"W","House, Parking Lot","House","Southwest","Town Road",4,"Outside City Planning Area",0,"4th",2019,84,0,"1","1"
"7813","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Umaki","No_station",999,"No_information",NA,"Semi-trapezoidal Shaped",21.5,150,1977,"RC","House","Other","South","Town Road",3.2,"Non-divided City Planning Area",0,"3rd",2018,41,0,"1","1"
"7814","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Katajo","No_station",999,"No_information",NA,"Semi-rectangular Shaped",10,130,1978,"W","House","Office","Northeast","City Road",4,"Non-divided City Planning Area",200,"1st",2021,43,0,"1","1"
"7815","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Kamano","No_station",999,"No_information",NA,"Irregular Shaped",0,75,1970,"W","House","House","East","Prefectural Road",8.5,"Outside City Planning Area",0,"2nd",2018,48,0,"1","1"
"7816","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Kankakedoori","No_station",999,"No_information",NA,"Rectangular Shaped",9,140,1973,"W","House","House","North","Town Road",3,"Non-divided City Planning Area",200,"4th",2019,46,0,"1","1"
"7817","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Sakate","No_station",999,"No_information",NA,"Semi-rectangular Shaped",13,120,2006,"W","House","House","South","Town Road",5.5,"Outside City Planning Area",0,"2nd",2018,12,0,"1","1"
"7818","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Tachibana","No_station",999,"No_information",NA,"Semi-rectangular Shaped",15,0,1968,"W","House","House","Southeast","Town Road",6.5,"Outside City Planning Area",0,"3rd",2018,50,0,"1","1"
"7819","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Nishimura","No_station",999,"No_information",NA,"Rectangular Shaped",10,0,2002,"W","House","No_information","East","Private Road",3.8,"Outside City Planning Area",0,"3rd",2019,17,0,"1","1"
"7820","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Noma","No_station",999,"No_information",NA,"Irregular Shaped",29,105,1991,"W","House","House","North","Town Road",3,"Outside City Planning Area",0,"4th",2017,26,0,"1","1"
"7821","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Yasuda","No_station",999,"No_information",NA,"Rectangular Shaped",9.5,85,1974,"W","House","No_information","South","Town Road",6,"Non-divided City Planning Area",200,"1st",2018,44,0,"1","1"
