"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"4657","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchonishinosho","Kazashigaoka",60,"No_information",18421.0526315789,"Rectangular Shaped",14.5,115,1979,"W","House","House","Northeast","City Road",6,"Non-divided City Planning Area",200,"1st",2020,41,0,"2","1"
"4658","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kanakuracho","Sanukishioya",60,"No_information",29268.2926829268,"Irregular Shaped",12,105,1980,"W","House","No_information","West","City Road",7.5,"Non-divided City Planning Area",200,"2nd",2012,32,0,"3","1"
"4659","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nariaicho","Ichinomiya",60,"No_information",31081.0810810811,"Irregular Shaped",31,230,2008,"W","House, Warehouse","House","East","City Road",4.5,"Non-divided City Planning Area",100,"1st",2021,13,0,"2","1"
"4660","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hanzanchonishisakamoto","Okada (Takamatsu)",90,"No_information",57575.7575757576,"Semi-rectangular Shaped",22.5,155,2005,"W","House","No_information","Northwest","City Road",3,"Non-divided City Planning Area",200,"4th",2013,8,0,"2","1"
"4661","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Yashimanakamachi","Kotoden-yashima",4,"3LDK",212500,"No_information",0,0,2006,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"1st",2011,5,0,"3","2"
"4662","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Kazuhara","Konzoji",29,"No_information",10810.8108108108,"Semi-square Shaped",0,70,1988,"W","House","House","Southwest","Private Road",4,"Non-divided City Planning Area",200,"1st",2019,31,0,"2","1"
"4663","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechoomachi","Omachi (Takamatsu)",5,"No_information",128571.428571429,"Semi-rectangular Shaped",16,90,2016,"W","House","House","Southeast","Private Road",5,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2016,0,1,"2","1"
"4664","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",11,"No_information",82608.6956521739,"Semi-rectangular Shaped",14,200,1999,"W","House, Shop","House","Southwest","Road",6,"Category II Residential Zone",200,"4th",2020,21,0,"2","1"
"4665","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Busshozan",23,"No_information",133333.333333333,"Semi-square Shaped",14,105,2012,"W","House","No_information","West","Private Road",6,"Non-divided City Planning Area",100,"3rd",2012,0,1,"3","2"
"4666","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Minamigamo","Tadotsu",15,"No_information",117948.717948718,"Semi-rectangular Shaped",11.5,120,2009,"W","House","No_information","Northeast","Town Road",5.2,"Category I Exclusively Low-story Residential Zone",100,"2nd",2009,0,1,"2","1"
"4667","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Nishikimachi","Takamatsu (Kagawa)",3,"4LDK",250000,"No_information",0,0,2006,"RC","House","No_information","No_information","No_information",0,"Commercial Zone",400,"4th",2012,6,0,"4","3"
