"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"3766","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",6,NA,195,117948.717948718,"Semi-rectangular Shaped",12.5,180,1935,"S","House",NA,"East","City Road",5,"Quasi-industrial Zone",60,200,"3rd",2010
"3767","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",8,"3LDK",65,169230.769230769,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2010
"3768","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tarumicho","Zentsuji",60,NA,250,76000,"Semi-shaped",12,135,1935,"W","House",NA,"Northeast","City Road",4.2,"Non-divided City Planning Area",70,200,"1st",2014
"3769","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tarumicho","Hazama",60,NA,125,44000,"Rectangular Shaped",12.2,90,1935,"LS","House",NA,"Southwest","City Road",4,"Non-divided City Planning Area",70,200,"1st",2014
"3770","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",6,NA,210,7619.04761904762,"Semi-square Shaped",15,110,1935,"W","House",NA,"West","City Road",4.5,"Quasi-industrial Zone",60,200,"4th",2010
"3771","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",10,NA,85,38823.5294117647,"Semi-rectangular Shaped",10.5,80,1935,"W","House",NA,"West","City Road",4,"Quasi-industrial Zone",60,200,"4th",2010
"3772","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",6,"3LDK",70,121428.571428571,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2010
"3773","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",11,NA,145,62068.9655172414,"Semi-rectangular Shaped",11,100,1935,"W","House",NA,"West","City Road",4.5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2010
"3774","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",14,NA,125,120000,"Square Shaped",11,95,1935,"W","House",NA,"North","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"2nd",2010
"3775","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",7,"3LDK",70,2e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"2nd",2010
"3776","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",15,"3DK",55,54545.4545454545,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2010
"3777","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tsunomoricho","Marugame",15,NA,240,31250,"&quot;Flag-shaped&quot; etc.",4,130,1935,"W","House","House","Southwest","City Road",3.4,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2014
"3778","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tsunomoricho","Marugame",16,NA,270,19629.6296296296,"Semi-trapezoidal Shaped",NA,110,1935,"W","House","House","Northwest","City Road",2,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2014
"3779","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tsunomoricho","Marugame",21,NA,830,24096.3855421687,"Semi-rectangular Shaped",NA,120,1935,"W","House",NA,"Northwest","Private Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2014
"3780","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Doicho","Marugame",21,"3LDK",65,184615.384615385,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"3rd",2014
"3781","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",8,NA,140,142857.142857143,"Semi-rectangular Shaped",14,105,1935,"W","House",NA,"East","City Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2010
"3782","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",13,NA,195,92307.6923076923,"&quot;Flag-shaped&quot; etc.",6,100,1935,"W","House",NA,"South","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2010
"3783","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",5,NA,125,104000,"Semi-rectangular Shaped",5,95,1935,"W","House",NA,"Southeast","Private Road",4,"Category I Residential Zone",60,200,"3rd",2010
