"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"2607","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Toyohamachowadahama","Toyohama",11,NA,165,6060.60606060606,"Irregular Shaped",10.5,65,1935,"W","House","Other","West","City Road",5,"Non-divided City Planning Area",70,200,"1st",2020
"4231","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimahigashimachi","Yakuri",24,NA,270,70370.3703703704,"Rectangular Shaped",14,135,1935,"W","House",NA,"South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2010
"2297","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Fukushimacho","Marugame",5,NA,110,27272.7272727273,"Irregular Shaped",6,NA,1935,"SRC","House","House","Northeast","City Road",5,"Quasi-industrial Zone",60,200,"1st",2019
"4537","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Dofukuji","Tadotsu",25,NA,160,21250,"Semi-square Shaped",12.8,90,1935,"W","House",NA,"Northeast","Town Road",4,"Non-divided City Planning Area",70,200,"1st",2014
"1456","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",60,NA,90,16666.6666666667,"Rectangular Shaped",NA,65,1935,"W","House","Other","Southeast","Private Road",4,"Category I Residential Zone",60,200,"2nd",2016
"7308","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",26,NA,165,90909.0909090909,"Rectangular Shaped",12.5,100,1935,"W","House",NA,"South","City Road",4,"Category I Residential Zone",60,200,"1st",2009
"4890","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",5,"4LDK",85,88235.2941176471,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Commercial Zone",80,400,"1st",2011
"6923","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Marugame",60,NA,290,44827.5862068966,"Semi-trapezoidal Shaped",12,80,1935,"W","House",NA,"South","City Road",5,"Non-divided City Planning Area",70,200,"2nd",2013
"1351","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",14,NA,55,45454.5454545455,"Semi-rectangular Shaped",6,70,1935,"W","House","Other","North","City Road",6,"Category II Residential Zone",60,200,"1st",2021
"4005","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tahishimomachi","Ota (Takamatsu)",15,"3LDK",85,258823.529411765,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2010
"726","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichokashihara","Kokubu (Kagawa)",60,NA,220,145454.545454545,"Rectangular Shaped",13.5,NA,1935,NA,"House","House","Southeast","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2019
"556","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",8,"3LDK",70,171428.571428571,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2020
"8239","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechoomachi","Shioya (Takamatsu)",5,NA,155,103225.806451613,"Rectangular Shaped",10,100,1935,"W","House",NA,"Southwest","Private Road",4,"Category I Residential Zone",60,200,"4th",2008
"7353","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Kotoden-yashima",8,"3LDK",75,121333.333333333,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"4th",2009
"1279","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nariaicho","Enza",60,NA,155,90322.5806451613,"Semi-rectangular Shaped",10,105,1935,"W","House","House","North","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2018
"4502","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kinashicho","Kinashi",4,NA,230,143478.260869565,"Rectangular Shaped",11.5,130,1935,"W","House",NA,"East","Private Road",5,"Category I Exclusively Low-story Residential Zone",50,80,"3rd",2011
"7288","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihigashimachi","Kozai",10,NA,150,173333.333333333,"Semi-shaped",10,100,1935,"W","House",NA,"East","City Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2009
