"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"1487","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Higashiyamasakicho","Mizuta",5,NA,360,30555.5555555556,"Semi-shaped",19.5,135,1935,"W","House","House","North","City Road",5.5,"Quasi-residential Zone",60,200,"2nd",2018
"4951","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Zentsuji",60,NA,900,15555.5555555556,"Irregular Shaped",37,380,1935,"SRC","House",NA,"Southwest","City Road",3.2,"Non-divided City Planning Area",70,200,"3rd",2011
"1130","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tahishimomachi","Ota (Takamatsu)",13,"2LDK",60,216666.666666667,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2019
"4022","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kunitacho","Kan-onji (Kagawa)",15,NA,250,120000,"Semi-trapezoidal Shaped",14.5,110,1935,"W","House","House","Northeast","Prefectural Road",6.5,"Category I Residential Zone",60,200,"4th",2014
"5047","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Yamashina","Tadotsu",60,NA,185,13513.5135135135,"Rectangular Shaped",14.7,60,1935,"W","House",NA,"Northeast","Town Road",4,"Non-divided City Planning Area",70,200,"1st",2010
"231","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Omorecho","Nishimaeda",14,NA,300,1666.66666666667,"Semi-rectangular Shaped",19,75,1935,"W","House","House","North","City Road",3.6,"Non-divided City Planning Area",60,100,"4th",2019
"6930","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tsunomoricho","Marugame",15,NA,510,9803.92156862745,"Semi-shaped",16,145,1935,"W","House",NA,"Southwest","City Road",3,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2013
"2590","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Takayacho","Kan-onji (Kagawa)",60,NA,470,3191.48936170213,"Irregular Shaped",26,180,1935,"W","House","Other","Southwest","City Road",4.2,"Outside City Planning Area",NA,NA,"3rd",2020
"2310","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Yamanokitacho","Marugame",28,NA,180,111111.111111111,"Semi-rectangular Shaped",12.5,105,1935,"W","House","House","East","Private Road",6,"Category I Exclusively Low-story Residential Zone",50,80,"4th",2020
"6208","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Aogi","Tadotsu",60,NA,250,19200,"Semi-rectangular Shaped",13.5,60,1935,"W","House","House","Northeast","Town Road",6,"Non-divided City Planning Area",70,200,"3rd",2015
"8529","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",16,NA,105,59047.619047619,"Semi-shaped",7,105,1935,"W","House",NA,"North","Private Road",6,"Category I Residential Zone",60,200,"3rd",2007
"2691","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",60,NA,240,27083.3333333333,"Semi-square Shaped",15,70,1935,"W","House","House","South","City Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"2nd",2018
"1617","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Hayashimichi",15,NA,200,135000,"Irregular Shaped",12,105,1935,"W","House","House","North","Private Road",8,"Category II Exclusively Medium-high Residential Zone",60,200,"3rd",2019
"2667","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",20,NA,200,27000,"Semi-square Shaped",14,75,1935,"W","House","House","South","City Road",5.8,"Category I Exclusively Low-story Residential Zone",60,100,"4th",2020
"3222","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Aogi","Tadotsu",28,NA,200,60000,"Semi-rectangular Shaped",10.3,95,1935,"W","House","Other","West","Town Road",7.5,"Non-divided City Planning Area",70,200,"1st",2018
"6450","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",2,NA,125,160000,"Rectangular Shaped",8.3,100,1935,"W","House",NA,"South","City Road",5.4,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2013
"6508","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Kitacho",19,NA,170,147058.823529412,"Semi-rectangular Shaped",14,110,1935,"W","House",NA,"West","Private Road",6,"Non-divided City Planning Area",60,100,"3rd",2013
"3251","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Dofukuji","Tadotsu",17,NA,490,34693.8775510204,"Semi-rectangular Shaped",27,135,1935,"W","House","House","Southwest","Town Road",2.7,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2020
"252","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",28,NA,165,15151.5151515152,"Rectangular Shaped",12,85,1935,"W","House","House","South","City Road",4,"Category II Exclusively Low-story Residential Zone",60,100,"1st",2016
"7599","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Haradacho","Konzoji",25,NA,210,138095.238095238,"Rectangular Shaped",17,125,1935,"S","House",NA,"West","Private Road",6,"Non-divided City Planning Area",70,200,"1st",2009
"2175","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichonishi","Marugame",60,NA,210,33333.3333333333,"Semi-trapezoidal Shaped",16.3,65,1935,"W","House","House","Northwest","Private Road",4,"Non-divided City Planning Area",70,200,"4th",2018
"1602","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Sanjo (Takamatsu)",14,NA,360,86111.1111111111,"Irregular Shaped",12,220,1935,"RC","House","House","South","City Road",4,"Category II Exclusively Low-story Residential Zone",60,150,"1st",2017
"2135","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",60,"4LDK",80,175000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"3rd",2017
"5776","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,190,173684.210526316,"Rectangular Shaped",12,NA,1935,NA,"House",NA,"South","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2012
"7273","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",15,NA,150,186666.666666667,"Semi-rectangular Shaped",9,100,1935,"W","House",NA,"South","Private Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2009
"4170","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Minato","Sanukishirotori",14,NA,230,18695.652173913,"Semi-rectangular Shaped",9,115,1935,"LS","House",NA,"West","Private Road",4,"Non-divided City Planning Area",70,200,"1st",2014
"196","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",19,"3LDK",70,157142.857142857,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2019
"5550","Residential Land(Land and Building)","Residential Area","37364","Kagawa Prefecture","Naoshima Town,Kagawa County","(No Address)","No_station",NA,NA,300,56666.6666666667,"Irregular Shaped",25,125,1935,"W","House",NA,"South","Town Road",5,"Outside City Planning Area",NA,NA,"3rd",2011
"447","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kankodori","Kawaramachi",6,"2LDK",50,140000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Commercial Zone",80,500,"4th",2018
"4523","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kumecho","Sakaide",21,NA,135,14814.8148148148,"Rectangular Shaped",8.6,50,1935,"W","House",NA,"South","Road",3.6,"Category I Residential Zone",60,200,"4th",2010
"358","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kaminocho","Sanjo (Takamatsu)",5,"2LDK",60,216666.666666667,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"2nd",2016
"6686","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Okushirakata","Tadotsu",60,NA,190,84210.5263157895,"Semi-rectangular Shaped",12.5,NA,1935,"W","House",NA,"North","Town Road",5.2,"Non-divided City Planning Area",70,200,"2nd",2012
"373","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Busshozan",29,NA,165,127272.727272727,"Rectangular Shaped",10,105,1935,"S","House","House","West","City Road",5,"Non-divided City Planning Area",60,100,"1st",2018
"7158","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Kazuhara","Tadotsu",28,NA,340,55882.3529411765,"Semi-rectangular Shaped",10,110,1935,"W","House",NA,"Northeast","Town Road",4,"Non-divided City Planning Area",70,200,"3rd",2013
"2008","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kanakuracho","Marugame",60,NA,350,22857.1428571429,"Semi-rectangular Shaped",32,120,1935,"W","House","House","Northeast","Private Road",3,"Non-divided City Planning Area",70,200,"1st",2018
"1077","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Ota (Takamatsu)",14,NA,175,177142.857142857,"Semi-rectangular Shaped",11,110,1935,"W","House","House","East","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2020
"7683","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",NA,NA,490,26530.612244898,"Irregular Shaped",14,120,1935,"W","House",NA,"South","Town Road",5.5,"Outside City Planning Area",NA,NA,"1st",2009
"4199","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",14,NA,310,87096.7741935484,"Semi-rectangular Shaped",15,195,1935,"W","House",NA,"East","City Road",4,"Category I Exclusively Low-story Residential Zone",50,80,"4th",2010
"5515","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",6,NA,100,77000,"Semi-rectangular Shaped",6,105,1935,"W","House","House","South","Private Road",4,"Category II Residential Zone",60,200,"4th",2015
"7707","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Gakuendori",60,NA,570,19298.2456140351,"Semi-rectangular Shaped",30,220,1935,"W","House",NA,"North","Town Road",7,"Non-divided City Planning Area",70,200,"2nd",2009
"2750","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",8,NA,290,51724.1379310345,"Semi-shaped",NA,105,1935,"W","House","House","West","Prefectural Road",7,"Non-divided City Planning Area",70,200,"1st",2017
"1604","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Sanjo (Takamatsu)",16,NA,165,266666.666666667,"Rectangular Shaped",9,115,1935,"LS","House","House","North","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2016
"7722","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Kayahara","Takinomiya",19,NA,240,30416.6666666667,"Irregular Shaped",12.5,90,1935,"W","House",NA,"Southwest","Private Road",4,"",70,200,"3rd",2009
"3175","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Takinomiya","Takinomiya",8,NA,200,2e+05,"Semi-rectangular Shaped",14,125,1935,NA,"House","House","Northwest","Private Road",5.5,"Non-divided City Planning Area",70,200,"1st",2019
"4993","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",9,NA,230,108695.652173913,"Semi-square Shaped",16,115,1935,"W","House","House","West","Private Road",6,"Non-divided City Planning Area",60,100,"4th",2015
"4877","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimahigashimachi","Yakuri",19,NA,300,46666.6666666667,"Rectangular Shaped",14,150,1935,"W","House",NA,"North","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2011
"8202","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Sanjo (Takamatsu)",20,NA,115,104347.826086957,"Semi-rectangular Shaped",8,85,1935,"W","House",NA,"West","City Road",6,"Category II Exclusively Low-story Residential Zone",60,150,"4th",2008
"2645","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kamosho","Shido",60,NA,125,73600,"Semi-rectangular Shaped",12,95,1935,"W","House","House","West","Private Road",4,"Outside City Planning Area",NA,NA,"4th",2020
"490","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",10,NA,140,71428.5714285714,"Rectangular Shaped",9,100,1935,"W","House","House","South","Private Road",4.2,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2018
"6332","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Nakabucho","Marugame",20,"3DK",65,72307.6923076923,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"4th",2012
"8434","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Asahicho","Sakaide",13,NA,210,47619.0476190476,"Rectangular Shaped",11.2,60,1935,"W","House",NA,"West","City Road",5.7,"Category I Residential Zone",60,200,"1st",2008
"906","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shiogamicho","Kawaramachi",6,NA,40,62500,"Semi-rectangular Shaped",9,100,1935,"S","House","House","South","City Road",6,"Neighborhood Commercial Zone",80,300,"2nd",2020
"5848","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kusugamicho","Hanazono (Takamatsu)",4,"2LDK",75,320000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"4th",2012
"8246","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",5,NA,150,153333.333333333,"Semi-rectangular Shaped",11,90,1935,"W","House",NA,"West","City Road",5.5,"Quasi-industrial Zone",60,200,"4th",2008
"2169","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichonishi","Marugame",60,NA,270,59259.2592592593,"Semi-rectangular Shaped",19,130,1935,"W","House","Other","Northeast","Private Road",4,"Non-divided City Planning Area",70,200,"2nd",2020
"331","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Motoyama (Takamatsu)",28,NA,210,147619.047619048,"Semi-rectangular Shaped",15,100,1935,"LS","House","House","East","City Road",4,"Non-divided City Planning Area",60,100,"4th",2018
"7216","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",18,NA,150,24666.6666666667,"Semi-rectangular Shaped",12,125,1935,"W","House",NA,"West","Private Road",4.5,"Quasi-industrial Zone",60,200,"1st",2009
"3287","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Minamigamo","Tadotsu",26,NA,360,50000,"Semi-rectangular Shaped",NA,115,1935,"W","House","House","Southwest","Private Road",5,"Non-divided City Planning Area",70,200,"3rd",2016
"5337","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Danshicho","Enza",60,NA,350,24000,"Semi-rectangular Shaped",13,195,1935,"W","House",NA,"South","Prefectural Road",4.5,"Non-divided City Planning Area",60,200,"1st",2015
"1621","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Hayashimichi",13,"3LDK",80,337500,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"4th",2018
"5960","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shindencho","Yashima",18,NA,170,158823.529411765,"Semi-rectangular Shaped",15,105,1935,"W","House",NA,"South","Private Road",5,"Non-divided City Planning Area",60,100,"3rd",2012
"1025","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsuminami",4,NA,200,60000,"Semi-shaped",14,120,1935,"W","House","House","East","Road",5,"Category I Residential Zone",60,200,"2nd",2018
"8347","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",90,"3LDK",75,146666.666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Non-divided City Planning Area",70,200,"2nd",2008
"3384","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",8,"3LDK",65,152307.692307692,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2014
"3719","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawanishichokita","Konzoji",90,NA,125,112000,"Rectangular Shaped",8.9,85,1935,"W","House","House","Southeast","City Road",4,"Non-divided City Planning Area",70,200,"4th",2014
"635","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kinashicho","Kinashi",14,NA,1000,9900,"Semi-trapezoidal Shaped",NA,115,1935,"W","House","Office","East","Private Road",4,"Non-divided City Planning Area",60,100,"3rd",2018
"4719","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuruwa","Tsuruwa",6,NA,220,5454.54545454545,"Semi-shaped",15,60,1935,"W","House",NA,"South","City Road",5.5,"Non-divided City Planning Area",70,200,"1st",2010
"7515","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachookadahigashi","Okada (Takamatsu)",26,NA,160,34375,"Semi-rectangular Shaped",13.5,90,1935,"W","House",NA,"West","City Road",4.8,"Non-divided City Planning Area",70,200,"1st",2009
"4112","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Bancho","Takamatsu (Kagawa)",11,NA,380,210526.315789474,"Semi-rectangular Shaped",17.5,150,1935,"W","House",NA,"South","City Road",6,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2010
"3967","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsu",1,"4LDK",110,154545.454545455,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"2nd",2010
"7944","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchonishinosho","Okamoto (Takamatsu)",60,NA,195,102564.102564103,"Semi-square Shaped",13.5,65,1935,"W","House",NA,"Southwest","City Road",6,"Non-divided City Planning Area",70,200,"4th",2008
"6298","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",90,NA,210,128571.428571429,"Semi-trapezoidal Shaped",16,125,1935,"W","House",NA,"Southeast","Private Road",6,"Non-divided City Planning Area",70,200,"1st",2012
"5525","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",9,NA,105,49523.8095238095,"Rectangular Shaped",8,80,1935,"LS","House","House","South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2015
"6475","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",60,NA,350,18571.4285714286,"Irregular Shaped",3.8,100,1935,"W","House",NA,"East","Prefectural Road",8.5,"Neighborhood Commercial Zone",80,200,"4th",2013
"8389","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",25,"3LDK",90,55555.5555555556,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2008
"1552","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Fuseishicho","Sanjo (Takamatsu)",11,NA,195,174358.974358974,"Irregular Shaped",12,120,1935,"LS","House","House","West","Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2016
"5191","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihommachi","Kozai",26,NA,410,8536.58536585366,"Irregular Shaped",40,100,1935,"W","House","Warehouse","East","City Road",11,"Non-divided City Planning Area",50,80,"3rd",2015
"6805","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Fukudamachi","Kawaramachi",6,NA,140,67857.1428571429,"Semi-rectangular Shaped",6.8,75,1935,"W","House",NA,"North","City Road",8,"Commercial Zone",80,400,"2nd",2013
"6173","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,NA,175,154285.714285714,"Irregular Shaped",7.5,110,1935,"W","House",NA,"South","Private Road",6.2,"Non-divided City Planning Area",60,100,"3rd",2012
"6170","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","(No Address)","Utazu",18,NA,125,55200,"Rectangular Shaped",6,210,1935,"S, W","House","House","Southwest","Town Road",3.8,"Category I Residential Zone",60,200,"3rd",2015
"3204","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Enai","Kotodenkotohira",6,NA,530,5660.37735849057,"Semi-shaped",14,290,1935,"W","House","Other","Southwest","Town Road",3.2,"Non-divided City Planning Area",70,400,"2nd",2017
"4511","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kamocho","Kamogawa",20,NA,230,30000,"Semi-rectangular Shaped",15.7,55,1935,"W","House",NA,"Northeast","Private Road",5,"Non-divided City Planning Area",70,200,"1st",2010
"6474","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Omorecho","Takata (Takamatsu)",21,NA,165,133333.333333333,"Semi-shaped",17,105,1935,"W","House",NA,"West","Private Road",5,"Non-divided City Planning Area",60,100,"3rd",2013
"3028","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",4,NA,300,21666.6666666667,"Semi-rectangular Shaped",18,135,1935,"S","House","House","Northeast","Town Road",4.6,"Non-divided City Planning Area",70,200,"4th",2016
"3053","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Shimotakaoka","Shirayama (Takamatsu)",18,NA,160,81250,"Semi-trapezoidal Shaped",16,125,1935,"W","House","House","South","Town Road",4,"Non-divided City Planning Area",70,200,"3rd",2019
"907","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shiogamicho","Kawaramachi",5,NA,220,113636.363636364,"Semi-rectangular Shaped",11.5,60,1935,"W","House","Other","Southwest","City Road",6,"Neighborhood Commercial Zone",80,300,"1st",2019
"1638","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Imabashi",3,"3LDK",70,428571.428571429,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Industrial Zone",60,200,"3rd",2020
"2854","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Minato","Sanukishirotori",26,NA,580,1724.13793103448,"Semi-trapezoidal Shaped",25,35,1935,"W","House","Other","North","Road",2.5,"Non-divided City Planning Area",70,200,"2nd",2016
"3525","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Nishimachi","Showacho (Kagawa)",8,"3LDK",65,230769.230769231,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"3rd",2014
"1641","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Imabashi",3,NA,185,91891.8918918919,"Rectangular Shaped",15.4,120,1935,"W","House","House","East","City Road",6,"Industrial Zone",60,200,"4th",2018
"7714","Residential Land(Land and Building)","Residential Area","37364","Kagawa Prefecture","Naoshima Town,Kagawa County","(No Address)","No_station",NA,NA,200,42500,"Semi-trapezoidal Shaped",13,135,1935,"W","House",NA,"South","Town Road",3.1,"Outside City Planning Area",NA,NA,"4th",2009
"7741","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Mii","Tadotsu",60,NA,230,82608.6956521739,"Semi-square Shaped",15.5,125,1935,"S","House",NA,"Southwest","Private Road",6,"Non-divided City Planning Area",70,200,"1st",2009
"1213","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",12,"4LDK",80,106250,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Non-divided City Planning Area",60,100,"3rd",2017
"1569","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Busshozan",7,NA,200,55000,"Semi-rectangular Shaped",11.5,105,1935,"W","House","House","South","City Road",3,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2019
"7550","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Nishihommachi","Marugame",6,"3LDK",65,55384.6153846154,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"4th",2009
"7275","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",4,NA,190,136842.105263158,"Semi-rectangular Shaped",13.5,105,1935,"W","House",NA,"East","Private Road",6,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2009
"6803","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hyogomachi","Takamatsu (Kagawa)",7,"3LDK",70,3e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Commercial Zone",80,400,"4th",2013
"1328","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nishiyamasakicho","Enza",19,NA,200,145000,"Semi-shaped",12,115,1935,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",60,200,"3rd",2017
"5980","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechoshimokatsuma","Takase (Kagawa)",11,NA,270,122222.222222222,"Semi-rectangular Shaped",12.1,NA,1935,"W","House","House","Southwest","City Road",6,"Outside City Planning Area",NA,NA,"1st",2015
